id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
48,38,male,1,rent,rich,little,6004,45,car
49,26,female,1,rent,moderate,rich,6844,24,furniture/equipment
50,56,male,1,free,quite rich,nan,13161,12,domestic appliances
51,35,female,2,own,little,little,12102,27,furniture/equipment
52,21,female,3,own,nan,nan,15197,15,business
53,42,female,1,free,moderate,moderate,16553,38,education
54,31,female,1,rent,moderate,nan,13147,23,domestic appliances
55,67,male,2,free,quite rich,little,14881,29,car
56,26,female,3,free,moderate,nan,7741,57,repairs
57,43,female,3,own,quite rich,little,6722,20,car
58,70,female,1,free,nan,moderate,938,23,radio/TV
59,19,female,0,free,quite rich,little,6648,28,radio/TV
60,37,male,2,own,moderate,little,14820,29,radio/TV
61,45,female,0,own,little,nan,293,29,education
62,64,male,0,own,moderate,rich,6070,37,repairs
63,24,female,1,own,moderate,rich,19374,6,car
64,61,female,1,rent,quite rich,nan,3929,54,repairs
65,25,male,1,rent,quite rich,moderate,17176,58,radio/TV
66,64,female,2,free,moderate,rich,5719,41,car
67,52,male,2,own,little,little,17331,27,radio/TV
68,31,female,2,own,moderate,nan,17490,24,education
69,34,male,0,own,moderate,little,10469,57,furniture/equipment
70,53,male,2,rent,rich,moderate,9809,7,car
71,67,male,3,free,little,nan,6168,7,business
72,57,male,2,free,moderate,rich,13904,46,furniture/equipment
73,21,male,1,free,nan,rich,11462,18,repairs
74,19,female,0,own,little,moderate,1777,7,repairs
75,23,male,2,rent,little,moderate,8464,33,repairs
76,71,male,1,own,little,nan,7637,22,education
77,59,female,1,own,little,rich,12111,18,education
78,21,male,3,rent,quite rich,moderate,6260,27,domestic appliances
79,71,female,3,free,little,rich,6884,29,repairs
80,46,female,2,rent,quite rich,little,4146,50,education
81,35,male,0,own,little,rich,366,35,repairs
82,43,male,0,own,nan,nan,11025,21,repairs
83,61,male,2,rent,rich,rich,2069,7,education
84,51,male,2,rent,quite rich,rich,6129,12,car
85,27,male,2,rent,rich,nan,1290,6,domestic appliances
86,53,male,0,free,quite rich,rich,11997,52,business
87,31,female,3,free,quite rich,little,17814,24,radio/TV
88,48,female,0,rent,little,little,18952,35,radio/TV
89,65,female,1,rent,moderate,little,3656,55,radio/TV
90,32,female,3,own,little,rich,19535,56,radio/TV
91,25,male,1,rent,moderate,nan,12402,52,radio/TV
92,31,male,0,free,little,moderate,8917,46,domestic appliances
93,40,female,1,rent,little,nan,2005,22,domestic appliances
94,74,male,0,rent,nan,nan,17505,39,car
95,57,male,3,rent,nan,moderate,9726,47,car
96,38,female,3,own,nan,rich,5531,54,radio/TV
97,33,female,3,free,rich,nan,18988,10,domestic appliances
98,62,female,1,rent,quite rich,moderate,8110,38,repairs
99,35,female,2,own,quite rich,moderate,2749,36,business
100,64,male,3,rent,little,nan,10036,35,radio/TV
101,70,female,0,free,quite rich,rich,962,41,education
102,41,male,1,own,nan,moderate,4989,50,repairs
103,43,female,3,own,nan,nan,3301,43,domestic appliances
104,42,female,2,own,moderate,nan,16259,31,furniture/equipment
105,62,female,3,free,moderate,moderate,11447,41,business
106,58,male,1,rent,rich,little,3966,37,business
107,46,male,1,own,quite rich,moderate,4238,44,business
108,32,male,2,free,moderate,moderate,1271,26,car
109,62,male,2,own,quite rich,little,1995,18,repairs
110,18,female,0,own,moderate,moderate,15655,47,car
111,42,female,3,own,rich,nan,5899,58,domestic appliances
112,24,female,1,free,nan,little,5150,46,business
113,26,female,2,free,little,nan,17593,39,domestic appliances
114,41,male,1,rent,little,little,7336,19,radio/TV
115,18,female,2,own,little,rich,12054,36,car
116,61,female,0,rent,little,moderate,17597,42,domestic appliances
117,25,female,3,rent,nan,moderate,12864,55,domestic appliances
118,41,male,2,own,moderate,rich,9588,51,car
119,28,male,1,own,rich,little,18480,26,business
120,68,male,1,rent,rich,nan,7624,19,domestic appliances
121,34,female,0,own,little,moderate,18425,37,car
122,25,male,0,own,little,nan,19902,6,business
123,52,male,2,rent,little,rich,8516,52,car
124,52,female,3,own,little,nan,1834,52,car
125,50,male,2,own,quite rich,moderate,7187,45,education
126,22,female,1,free,moderate,rich,5425,27,business
127,59,female,2,own,little,rich,6282,23,radio/TV
128,56,male,0,free,moderate,moderate,11019,20,education
129,58,female,2,own,rich,moderate,2605,56,repairs
130,45,female,0,rent,moderate,nan,14852,6,furniture/equipment
131,24,female,1,rent,quite rich,little,19465,44,furniture/equipment
132,26,female,3,free,rich,little,18592,39,furniture/equipment
133,25,male,2,own,little,rich,1437,28,repairs
134,29,female,0,free,little,moderate,7432,55,furniture/equipment
135,51,male,2,own,rich,nan,13936,42,business
136,50,female,0,own,little,nan,10792,55,domestic appliances
137,65,female,0,own,little,rich,13740,21,domestic appliances
138,72,female,0,free,little,nan,11998,53,business
139,40,female,2,free,rich,nan,4932,45,domestic appliances
140,41,female,0,free,quite rich,nan,17171,12,domestic appliances
141,54,female,2,rent,quite rich,nan,13558,22,domestic appliances
142,52,female,0,free,moderate,nan,16954,59,education
143,61,male,3,own,quite rich,moderate,12078,21,furniture/equipment
144,57,male,0,free,quite rich,little,5089,13,business
145,39,male,2,rent,little,little,5844,29,repairs
146,44,female,2,rent,moderate,little,5447,11,business
147,52,male,2,rent,quite rich,little,5733,22,car
148,18,female,1,free,moderate,nan,4163,13,radio/TV
149,52,male,3,rent,rich,moderate,3958,19,radio/TV
150,54,male,3,rent,quite rich,rich,6020,28,repairs
151,64,female,3,rent,little,nan,16067,6,education
152,31,female,1,rent,nan,little,6930,52,car
153,20,female,1,rent,little,little,2983,20,furniture/equipment
154,18,female,3,free,nan,nan,6310,39,furniture/equipment
155,22,female,0,rent,nan,rich,6123,29,business
156,43,male,0,free,rich,moderate,13848,23,car
157,72,female,3,own,quite rich,nan,18554,21,domestic appliances
158,31,female,0,free,nan,little,9313,39,repairs
159,56,female,2,free,nan,moderate,16490,11,repairs
160,44,male,1,rent,nan,little,17533,9,education
161,26,female,3,rent,moderate,rich,656,51,car
162,32,male,0,rent,quite rich,little,15369,20,radio/TV
163,32,male,3,free,nan,little,15510,40,furniture/equipment
164,43,male,3,free,quite rich,rich,1063,10,domestic appliances
165,59,male,2,rent,moderate,rich,9864,50,car
166,30,female,1,own,little,moderate,17921,24,car
167,68,female,1,own,little,moderate,912,56,radio/TV
168,49,female,3,own,nan,moderate,17432,13,domestic appliances
169,56,female,2,own,moderate,little,17553,38,repairs
170,66,male,0,rent,little,nan,1187,56,car
171,69,male,1,rent,rich,moderate,1346,56,repairs
172,49,female,3,free,rich,nan,2735,46,radio/TV
173,21,female,0,own,rich,rich,4683,38,furniture/equipment
174,47,female,3,free,nan,little,7776,9,radio/TV
175,54,male,0,rent,nan,rich,19890,38,repairs
176,40,male,0,free,little,moderate,16590,9,furniture/equipment
177,56,male,0,free,nan,rich,9530,48,car
178,62,female,0,own,little,little,16379,14,business
179,32,male,0,own,nan,nan,12761,30,repairs
180,60,male,0,own,moderate,little,18967,28,domestic appliances
181,46,male,2,own,quite rich,nan,6174,16,radio/TV
182,53,female,0,free,rich,nan,16379,54,education
183,30,male,0,rent,rich,moderate,14920,28,business
184,49,female,1,own,moderate,rich,16426,48,education
185,24,female,1,rent,nan,moderate,2363,43,car
186,68,female,0,free,little,nan,6591,16,car
187,39,male,3,free,quite rich,moderate,9932,17,radio/TV
188,45,female,1,own,little,moderate,6368,34,furniture/equipment
189,19,male,2,free,quite rich,rich,12950,52,radio/TV
190,59,male,2,rent,little,rich,4905,52,repairs
191,62,female,2,own,quite rich,moderate,1574,37,furniture/equipment
192,74,female,1,rent,moderate,nan,11672,52,education
193,70,female,2,own,moderate,nan,6801,41,radio/TV
194,23,male,2,own,moderate,little,2743,23,radio/TV
195,45,female,3,free,nan,moderate,16883,21,education
196,45,male,3,free,quite rich,little,10929,42,car
197,61,female,1,rent,little,moderate,510,10,furniture/equipment
198,61,male,0,own,nan,nan,788,13,domestic appliances
199,37,female,3,rent,quite rich,moderate,10185,25,radio/TV
200,47,female,0,own,nan,little,10345,14,domestic appliances
201,28,male,3,free,rich,moderate,19368,23,car
202,72,female,3,free,nan,nan,3876,17,repairs
203,45,female,3,own,rich,nan,13321,50,education
204,42,female,3,rent,nan,moderate,18139,30,domestic appliances
205,56,female,0,free,little,rich,18760,58,car
206,50,male,1,own,rich,moderate,14257,38,education
207,18,male,0,own,rich,rich,14156,23,furniture/equipment
208,74,male,2,own,rich,moderate,3175,7,car
209,44,male,0,own,moderate,nan,1580,40,radio/TV
210,74,male,2,rent,quite rich,little,6538,45,domestic appliances
211,69,female,0,own,quite rich,nan,16745,43,furniture/equipment
212,30,male,0,rent,nan,rich,11805,16,business
213,58,female,3,rent,quite rich,nan,18120,54,business
214,20,male,0,rent,nan,nan,18564,29,repairs
215,56,female,3,rent,rich,moderate,13516,56,radio/TV
216,23,male,1,free,quite rich,nan,4097,24,furniture/equipment
217,25,female,0,rent,nan,rich,8505,42,education
218,44,male,3,rent,rich,little,8529,20,furniture/equipment
219,26,female,2,rent,moderate,rich,1256,30,domestic appliances
220,54,female,3,own,little,nan,12556,9,repairs
221,50,female,2,free,quite rich,little,19021,40,radio/TV
222,68,female,0,rent,rich,rich,12065,38,furniture/equipment
223,59,female,1,rent,little,nan,5801,43,domestic appliances
224,61,male,0,free,little,rich,3209,17,radio/TV
225,41,female,0,rent,nan,moderate,10350,25,car
226,32,female,3,own,moderate,little,17968,56,domestic appliances
227,71,female,2,own,nan,rich,9818,33,business
228,49,male,1,rent,moderate,nan,18258,19,domestic appliances
229,49,female,2,own,little,little,10151,12,domestic appliances
230,41,female,1,free,little,moderate,10171,17,radio/TV
231,58,male,0,free,quite rich,nan,8591,55,radio/TV
232,69,male,3,rent,little,rich,12039,42,radio/TV
233,66,female,2,own,nan,nan,5969,33,car
234,66,female,0,own,nan,rich,15895,35,repairs
235,69,male,0,rent,little,moderate,19230,58,furniture/equipment
236,29,female,3,free,little,moderate,6833,40,car
237,56,female,2,rent,moderate,little,1627,34,domestic appliances
238,19,female,0,rent,little,little,11911,29,furniture/equipment
239,20,male,3,rent,little,moderate,5468,20,repairs
240,66,female,1,own,nan,nan,1701,31,education
241,54,female,0,free,nan,nan,16635,51,car
242,66,male,1,own,nan,moderate,5506,41,repairs
243,73,male,0,own,quite rich,little,11308,56,domestic appliances
244,34,male,3,own,moderate,nan,1793,27,domestic appliances
245,66,female,1,rent,moderate,rich,19547,17,repairs
246,19,female,3,own,little,little,7411,37,business
247,19,male,2,free,little,rich,14861,37,furniture/equipment
248,45,female,0,rent,rich,moderate,1587,21,domestic appliances
249,71,male,2,free,nan,moderate,9554,6,business
250,40,female,2,rent,moderate,little,17963,49,car
251,54,female,1,own,rich,nan,14487,53,education
252,49,female,0,own,quite rich,nan,6427,20,radio/TV
253,50,female,2,rent,quite rich,nan,6294,25,furniture/equipment
254,18,female,0,free,nan,little,3610,58,domestic appliances
255,36,female,3,rent,moderate,nan,504,6,repairs
256,19,male,1,free,rich,nan,2941,49,domestic appliances
257,70,female,2,own,little,nan,1110,7,business
258,61,male,3,own,nan,nan,18398,19,radio/TV
259,43,female,3,own,nan,rich,6815,49,domestic appliances
260,49,male,1,rent,nan,moderate,18107,43,education
261,23,male,3,own,little,rich,2184,53,car
262,49,female,3,own,nan,nan,996,29,furniture/equipment
263,72,female,2,own,rich,moderate,9222,35,car
264,21,female,3,free,little,nan,6962,58,car
265,72,male,1,own,quite rich,little,256,10,furniture/equipment
266,28,female,3,free,quite rich,nan,6138,52,radio/TV
267,73,female,0,own,nan,nan,18129,18,car
268,34,female,3,own,little,moderate,3450,23,education
269,55,female,3,free,rich,little,1978,9,furniture/equipment
270,41,male,3,free,moderate,little,15311,22,radio/TV
271,22,female,3,own,rich,nan,17195,42,business
272,69,male,2,rent,little,little,17938,42,radio/TV
273,51,male,2,free,little,rich,637,7,radio/TV
274,23,female,0,rent,rich,moderate,16595,21,furniture/equipment
275,39,female,2,free,little,rich,8297,12,business
276,28,male,1,free,nan,nan,6410,17,domestic appliances
277,65,female,2,own,nan,nan,5434,51,furniture/equipment
278,33,male,2,rent,nan,rich,19453,43,domestic appliances
279,50,male,2,rent,quite rich,moderate,13053,50,education
280,26,female,1,own,little,nan,2479,37,domestic appliances
281,23,female,0,own,nan,rich,9180,31,repairs
282,33,female,3,own,little,rich,17806,10,business
283,46,male,1,free,moderate,rich,18938,59,radio/TV
284,20,male,1,rent,nan,moderate,2887,47,radio/TV
285,37,female,2,own,moderate,moderate,13644,34,business
286,53,female,2,free,moderate,nan,10378,21,radio/TV
287,36,male,0,free,moderate,rich,15443,34,business
288,43,male,2,own,quite rich,little,748,29,domestic appliances
289,20,female,1,rent,quite rich,little,4770,17,furniture/equipment
290,36,male,2,own,rich,rich,13379,40,domestic appliances
291,37,female,2,own,quite rich,rich,14878,14,domestic appliances
292,49,male,0,free,quite rich,rich,18672,19,car
293,24,female,1,rent,quite rich,nan,1990,8,car
294,69,female,1,rent,moderate,rich,10168,29,car
295,58,male,3,own,moderate,little,16263,43,radio/TV
296,50,male,3,rent,moderate,moderate,3684,43,business
297,57,female,0,free,moderate,little,3375,45,business
298,56,female,1,free,little,rich,18825,59,car
299,35,female,1,free,rich,little,11341,55,car
300,57,female,2,own,moderate,moderate,19010,42,radio/TV
301,18,male,0,free,rich,moderate,18422,38,radio/TV
302,28,female,0,own,quite rich,moderate,15436,21,business
303,45,male,3,rent,rich,moderate,14484,20,repairs
304,74,male,3,rent,quite rich,little,15603,17,furniture/equipment
305,42,female,2,free,moderate,little,3514,23,business
306,67,male,3,own,quite rich,nan,8348,11,business
307,40,male,0,rent,moderate,little,18073,22,car
308,48,female,0,free,moderate,nan,4309,23,education
309,47,female,3,free,rich,rich,19252,19,furniture/equipment
310,59,female,2,own,nan,moderate,1794,9,domestic appliances
311,52,female,2,rent,moderate,little,10924,51,education
312,24,female,3,free,nan,little,10626,44,furniture/equipment
313,33,male,1,rent,moderate,nan,2055,50,radio/TV
314,43,female,1,free,moderate,nan,2063,45,radio/TV
315,65,female,3,free,rich,moderate,6531,59,repairs
316,74,male,2,rent,little,moderate,4088,28,radio/TV
317,69,female,3,own,moderate,nan,14212,22,domestic appliances
318,66,female,3,own,little,nan,5698,20,business
319,19,female,0,own,quite rich,rich,7804,17,radio/TV
320,18,male,2,own,nan,little,19035,26,business
321,65,female,2,own,quite rich,rich,3619,47,repairs
322,29,female,2,own,moderate,moderate,12205,35,business
323,22,female,3,free,rich,moderate,5634,9,business
324,54,female,1,own,quite rich,rich,17493,24,education
325,49,female,3,rent,little,moderate,7181,57,education
326,72,male,2,rent,quite rich,nan,17923,23,domestic appliances
327,26,female,0,rent,moderate,moderate,244,48,car
328,58,female,2,free,little,rich,13734,45,business
329,52,female,2,rent,rich,nan,17103,37,domestic appliances
330,36,female,2,free,nan,moderate,1953,46,repairs
331,65,female,3,own,little,rich,8909,27,repairs
332,33,male,1,own,quite rich,moderate,5781,17,car
333,20,male,0,free,rich,moderate,15792,52,education
334,37,female,0,rent,little,little,2863,56,business
335,41,female,1,rent,rich,moderate,18309,45,domestic appliances
336,71,male,1,rent,quite rich,rich,15922,26,car
337,73,male,1,rent,quite rich,nan,18819,51,car
338,50,male,0,own,rich,nan,14371,32,furniture/equipment
339,41,female,0,free,quite rich,rich,9323,32,business
340,69,male,2,rent,little,rich,1654,19,radio/TV
341,28,female,3,own,rich,rich,11012,40,business
342,66,female,3,own,nan,moderate,14240,27,repairs
343,25,male,3,rent,moderate,rich,16412,38,education
344,53,female,0,own,moderate,nan,9501,14,car
345,55,female,1,rent,rich,nan,7286,54,radio/TV
346,57,male,0,free,quite rich,rich,534,35,furniture/equipment
347,37,female,0,free,little,moderate,15597,6,repairs
348,52,male,0,rent,nan,little,17974,8,furniture/equipment
349,65,male,0,rent,little,nan,10704,31,domestic appliances
350,42,male,3,rent,quite rich,moderate,14003,26,business
351,52,female,2,own,nan,rich,15114,26,domestic appliances
352,42,male,1,rent,moderate,nan,18693,24,car
353,46,male,0,own,little,rich,8671,43,domestic appliances
354,35,female,1,rent,little,nan,2745,40,furniture/equipment
355,63,male,1,free,moderate,rich,18793,44,domestic appliances
356,35,female,0,free,little,rich,3399,53,domestic appliances
357,19,female,2,rent,moderate,nan,13015,36,education
358,71,male,2,own,rich,nan,6912,26,business
359,52,male,3,free,moderate,nan,13183,43,car
360,33,female,3,own,moderate,rich,8656,38,furniture/equipment
361,58,male,2,rent,rich,little,18857,31,domestic appliances
362,53,female,0,own,rich,nan,12398,52,domestic appliances
363,50,male,3,free,quite rich,nan,7240,49,car
364,21,female,0,free,quite rich,little,18403,59,radio/TV
365,50,male,0,own,nan,moderate,10487,57,business
366,31,male,0,own,moderate,moderate,14727,26,furniture/equipment
367,38,female,0,rent,nan,moderate,18181,42,car
368,65,male,1,free,rich,rich,13745,47,domestic appliances
369,37,male,1,rent,moderate,nan,17195,13,business
370,73,female,0,rent,moderate,little,15145,20,furniture/equipment
371,25,female,2,rent,moderate,rich,17412,51,car
372,24,female,1,free,rich,rich,5084,38,radio/TV
373,20,male,0,own,little,little,5426,57,repairs
374,34,male,0,free,nan,nan,13586,30,business
375,50,female,3,free,quite rich,nan,17658,40,repairs
376,65,female,3,own,quite rich,rich,8091,15,domestic appliances
377,29,male,3,rent,little,little,9725,20,business
378,68,female,1,free,moderate,little,6511,32,repairs
379,39,female,1,free,quite rich,rich,15298,8,education
380,72,female,3,own,rich,little,17252,33,business
381,39,male,3,rent,moderate,nan,11240,45,radio/TV
382,63,male,0,free,rich,nan,14142,58,car
383,47,female,2,rent,nan,nan,6118,42,radio/TV
384,55,male,3,free,moderate,little,5255,46,education
385,55,male,0,own,rich,rich,14219,53,domestic appliances
386,62,female,1,free,little,nan,10356,7,furniture/equipment
387,68,male,3,free,little,moderate,13277,26,furniture/equipment
388,71,female,1,rent,quite rich,rich,7422,6,car
389,25,male,0,rent,nan,little,3160,29,furniture/equipment
390,44,female,3,free,moderate,nan,16049,34,repairs
391,44,female,1,rent,nan,moderate,16121,15,radio/TV
392,51,female,0,own,nan,nan,16966,20,car
393,38,male,3,free,nan,nan,1682,8,car
394,47,female,2,free,moderate,nan,1371,34,business
395,50,male,2,free,nan,moderate,537,21,business
396,45,female,3,free,quite rich,rich,2138,42,radio/TV
397,64,male,3,rent,little,rich,16719,55,furniture/equipment
398,50,female,0,own,moderate,little,8206,52,car
399,22,female,1,free,quite rich,nan,14496,11,car
400,65,male,1,free,quite rich,moderate,11001,9,repairs
401,36,female,3,rent,rich,nan,4918,17,education
402,21,female,2,rent,quite rich,nan,9913,10,car
403,52,male,1,rent,nan,moderate,14958,57,furniture/equipment
404,66,male,3,free,little,little,15304,42,education
405,34,female,1,rent,nan,moderate,19259,53,furniture/equipment
406,61,female,0,free,nan,little,17949,8,domestic appliances
407,45,male,3,rent,quite rich,moderate,17366,40,education
408,47,female,2,rent,moderate,moderate,14340,47,radio/TV
409,46,female,2,own,moderate,moderate,9753,54,furniture/equipment
410,63,male,0,rent,little,little,8190,20,domestic appliances
411,70,female,0,free,rich,moderate,13429,59,domestic appliances
412,23,female,2,own,nan,rich,9596,36,furniture/equipment
413,52,male,2,own,moderate,nan,19438,23,furniture/equipment
414,58,female,0,rent,quite rich,moderate,2193,29,radio/TV
415,54,female,2,rent,nan,little,8886,22,repairs
416,41,female,2,own,nan,nan,16400,25,education
417,46,female,1,own,rich,nan,12361,14,car
418,66,female,2,rent,nan,rich,5177,49,education
419,63,male,0,own,rich,moderate,13036,46,education
420,70,female,1,free,moderate,moderate,2333,30,radio/TV
421,48,female,1,own,moderate,moderate,4130,21,domestic appliances
422,52,male,2,rent,nan,little,2749,6,car
423,50,female,1,free,nan,nan,17420,10,repairs
424,69,female,3,free,rich,nan,6183,17,business
425,38,female,0,rent,quite rich,nan,11017,39,domestic appliances
426,49,male,0,own,nan,moderate,11363,41,education
427,40,female,2,rent,rich,rich,5660,38,domestic appliances
428,50,male,2,free,little,nan,16195,9,domestic appliances
429,20,male,0,own,rich,moderate,12512,8,domestic appliances
430,35,female,0,free,nan,rich,9138,35,education
431,42,male,2,own,nan,nan,16138,24,education
432,59,male,0,rent,little,moderate,13044,57,repairs
433,48,male,2,free,moderate,little,15458,13,car
434,71,male,1,rent,moderate,rich,17504,54,furniture/equipment
435,20,female,3,free,little,little,17896,6,furniture/equipment
436,57,female,3,own,nan,rich,10836,42,education
437,63,female,3,rent,rich,nan,15172,44,domestic appliances
438,41,female,1,rent,quite rich,little,11552,18,car
439,67,male,2,free,little,nan,1947,56,domestic appliances
440,49,female,2,rent,little,little,19728,22,education
441,64,female,2,rent,rich,moderate,13018,44,domestic appliances
442,39,male,0,own,quite rich,little,9030,18,furniture/equipment
443,40,female,3,rent,quite rich,little,2975,39,education
444,19,male,2,rent,nan,moderate,17312,26,car
445,44,female,2,own,little,little,4420,8,furniture/equipment
446,59,female,1,free,rich,nan,3469,44,repairs
447,19,female,2,own,moderate,moderate,13066,27,domestic appliances
448,43,male,3,free,moderate,moderate,243,58,business
449,34,female,2,rent,moderate,rich,7670,10,radio/TV
450,57,female,1,own,rich,little,3367,6,furniture/equipment
451,50,male,3,free,moderate,moderate,14798,34,repairs
452,26,female,0,own,nan,rich,9253,34,radio/TV
453,60,female,2,rent,quite rich,moderate,11631,13,business
454,71,male,2,free,moderate,moderate,15777,7,business
455,65,male,2,own,rich,little,3150,45,education
456,56,female,2,free,rich,rich,9046,51,radio/TV
457,46,male,1,rent,moderate,nan,753,54,education
458,59,male,1,own,quite rich,little,11087,19,domestic appliances
459,72,male,3,free,quite rich,little,2646,19,furniture/equipment
460,43,female,1,free,nan,moderate,6899,25,furniture/equipment
461,52,female,2,free,nan,nan,18829,52,radio/TV
462,67,male,3,rent,moderate,moderate,18500,10,furniture/equipment
463,42,male,0,free,nan,rich,688,51,repairs
464,41,female,3,own,moderate,nan,1753,41,business
465,30,male,2,own,nan,rich,4572,32,radio/TV
466,24,male,2,rent,nan,moderate,5489,17,business
467,74,female,0,rent,rich,little,3683,27,repairs
468,53,female,2,free,little,little,5214,40,furniture/equipment
469,62,female,3,rent,moderate,little,5370,42,domestic appliances
470,37,male,1,free,moderate,moderate,8291,45,education
471,18,male,1,free,moderate,little,15988,59,car
472,25,male,3,rent,rich,little,15934,18,business
473,63,female,3,free,nan,nan,9111,57,business
474,33,male,3,free,moderate,moderate,8280,59,education
475,31,female,0,free,moderate,rich,17242,12,radio/TV
476,29,female,1,free,nan,rich,8999,48,repairs
477,68,male,0,own,quite rich,little,4104,56,repairs
478,40,female,0,rent,moderate,rich,11475,54,furniture/equipment
479,32,male,2,own,moderate,nan,16085,35,car
480,45,male,1,free,little,moderate,1613,49,business
481,51,female,0,rent,moderate,moderate,11151,10,repairs
482,19,male,3,rent,rich,nan,15010,47,car
483,49,female,3,rent,quite rich,rich,4922,55,business
484,40,female,3,free,quite rich,nan,18543,45,car
485,39,female,2,rent,nan,nan,17400,13,business
486,68,male,0,rent,moderate,little,4777,52,repairs
487,42,male,1,own,quite rich,rich,15360,48,business
488,39,male,1,rent,rich,nan,4480,58,domestic appliances
489,39,female,2,own,little,rich,4278,42,radio/TV
490,66,female,3,free,little,rich,11417,33,furniture/equipment
491,69,male,3,rent,little,moderate,2102,46,business
492,59,female,0,free,quite rich,moderate,3676,40,education
493,23,male,1,free,rich,nan,1455,50,education
494,32,male,1,rent,little,rich,14804,48,furniture/equipment
495,71,male,3,free,quite rich,nan,19479,56,car
496,60,male,3,free,rich,little,12771,29,business
497,54,female,1,rent,nan,moderate,10989,7,car
498,50,male,1,rent,quite rich,moderate,19218,55,furniture/equipment
499,25,female,1,rent,quite rich,rich,2519,38,radio/TV
500,70,female,0,own,little,moderate,4775,42,education
501,61,male,0,free,nan,rich,15708,10,furniture/equipment
502,61,male,3,free,little,rich,11638,42,radio/TV
503,22,female,2,own,moderate,little,852,43,business
504,56,male,3,free,nan,little,6076,15,domestic appliances
505,21,female,1,rent,rich,moderate,15152,29,car
506,23,female,2,rent,rich,nan,17033,34,business
507,62,female,0,free,moderate,little,16269,59,education
508,49,female,3,free,quite rich,moderate,11669,47,domestic appliances
509,69,male,0,free,quite rich,little,12454,17,domestic appliances
510,47,male,2,rent,nan,moderate,3449,38,domestic appliances
511,64,male,0,free,little,rich,11343,38,repairs
512,52,female,1,free,little,nan,17490,6,car
513,72,male,1,rent,little,little,11149,7,furniture/equipment
514,57,female,0,rent,rich,moderate,2517,40,domestic appliances
515,69,female,3,rent,moderate,little,9910,6,business
516,33,female,1,free,little,moderate,1671,20,business
517,30,male,2,free,nan,moderate,4845,56,education
518,67,male,3,own,moderate,little,5116,35,radio/TV
519,59,female,0,own,quite rich,rich,7727,29,business
520,47,male,2,rent,nan,moderate,17017,47,education
521,36,female,0,rent,little,nan,17652,43,furniture/equipment
522,34,male,3,rent,moderate,moderate,777,42,business
523,73,male,1,free,moderate,rich,5932,14,business
524,36,male,1,own,quite rich,nan,3323,10,business
525,45,female,1,rent,moderate,moderate,13380,50,furniture/equipment
526,72,male,1,free,quite rich,moderate,9660,41,car
527,43,male,2,free,rich,nan,2428,14,car
528,54,female,2,free,little,little,4062,13,furniture/equipment
529,43,male,3,free,nan,nan,9162,49,business
