id,Age,Sex,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Default,Loan Eligibility
160.0,44.0,male,rent,moderate,little,17533.0,9.0,education,1,No
161.0,26.0,female,rent,moderate,rich,656.0,51.0,car,0,Yes
162.0,32.0,male,rent,quite rich,little,15369.0,20.0,radio/TV,0,Yes
163.0,32.0,male,free,moderate,little,15510.0,40.0,furniture/equipment,1,No
164.0,43.0,male,free,quite rich,rich,1063.0,10.0,domestic appliances,0,Yes
165.0,59.0,male,rent,moderate,rich,9864.0,50.0,car,0,Yes
166.0,30.0,female,own,little,moderate,17921.0,24.0,car,1,No
167.0,68.0,female,own,little,moderate,912.0,56.0,radio/TV,1,No
168.0,49.0,female,own,moderate,moderate,17432.0,13.0,domestic appliances,1,No
169.0,56.0,female,own,moderate,little,17553.0,38.0,repairs,1,No
170.0,66.0,male,rent,little,moderate,1187.0,56.0,car,0,Yes
171.0,69.0,male,rent,rich,moderate,1346.0,56.0,repairs,1,No
172.0,49.0,female,free,rich,moderate,2735.0,46.0,radio/TV,0,Yes
173.0,21.0,female,own,rich,rich,4683.0,38.0,furniture/equipment,0,Yes
174.0,47.0,female,free,moderate,little,7776.0,9.0,radio/TV,0,Yes
175.0,54.0,male,rent,moderate,rich,19890.0,38.0,repairs,1,No
176.0,40.0,male,free,little,moderate,16590.0,9.0,furniture/equipment,0,Yes
177.0,56.0,male,free,moderate,rich,9530.0,48.0,car,0,Yes
178.0,62.0,female,own,little,little,16379.0,14.0,business,0,Yes
179.0,32.0,male,own,moderate,moderate,12761.0,30.0,repairs,1,No
180.0,60.0,male,own,moderate,little,18967.0,28.0,domestic appliances,1,No
181.0,46.0,male,own,quite rich,moderate,6174.0,16.0,radio/TV,1,No
182.0,53.0,female,free,rich,moderate,16379.0,54.0,education,0,Yes
183.0,30.0,male,rent,rich,moderate,14920.0,28.0,business,0,Yes
184.0,49.0,female,own,moderate,rich,16426.0,48.0,education,1,No
185.0,24.0,female,rent,moderate,moderate,2363.0,43.0,car,0,Yes
186.0,68.0,female,free,little,moderate,6591.0,16.0,car,0,Yes
187.0,39.0,male,free,quite rich,moderate,9932.0,17.0,radio/TV,0,Yes
188.0,45.0,female,own,little,moderate,6368.0,34.0,furniture/equipment,0,Yes
189.0,19.0,male,free,quite rich,rich,12950.0,52.0,radio/TV,1,No
190.0,59.0,male,rent,little,rich,4905.0,52.0,repairs,1,No
191.0,62.0,female,own,quite rich,moderate,1574.0,37.0,furniture/equipment,0,Yes
192.0,74.0,female,rent,moderate,moderate,11672.0,52.0,education,0,Yes
193.0,70.0,female,own,moderate,moderate,6801.0,41.0,radio/TV,0,Yes
194.0,23.0,male,own,moderate,little,2743.0,23.0,radio/TV,1,No
195.0,45.0,female,free,moderate,moderate,16883.0,21.0,education,0,Yes
196.0,45.0,male,free,quite rich,little,10929.0,42.0,car,0,Yes
197.0,61.0,female,rent,little,moderate,510.0,10.0,furniture/equipment,0,Yes
198.0,61.0,male,own,moderate,moderate,788.0,13.0,domestic appliances,0,Yes
199.0,37.0,female,rent,quite rich,moderate,10185.0,25.0,radio/TV,0,Yes
200.0,47.0,female,own,moderate,little,10345.0,14.0,domestic appliances,0,Yes
201.0,28.0,male,free,rich,moderate,19368.0,23.0,car,1,No
202.0,72.0,female,free,moderate,moderate,3876.0,17.0,repairs,0,Yes
203.0,45.0,female,own,rich,moderate,13321.0,50.0,education,0,Yes
204.0,42.0,female,rent,moderate,moderate,18139.0,30.0,domestic appliances,0,Yes
205.0,56.0,female,free,little,rich,18760.0,58.0,car,1,No
206.0,50.0,male,own,rich,moderate,14257.0,38.0,education,1,No
207.0,18.0,male,own,rich,rich,14156.0,23.0,furniture/equipment,0,Yes
208.0,74.0,male,own,rich,moderate,3175.0,7.0,car,1,No
209.0,44.0,male,own,moderate,moderate,1580.0,40.0,radio/TV,0,Yes
210.0,74.0,male,rent,quite rich,little,6538.0,45.0,domestic appliances,0,Yes
211.0,69.0,female,own,quite rich,moderate,16745.0,43.0,furniture/equipment,0,Yes
212.0,30.0,male,rent,moderate,rich,11805.0,16.0,business,0,Yes
213.0,58.0,female,rent,quite rich,moderate,18120.0,54.0,business,1,No
214.0,20.0,male,rent,moderate,moderate,18564.0,29.0,repairs,0,Yes
215.0,56.0,female,rent,rich,moderate,13516.0,56.0,radio/TV,1,No
216.0,23.0,male,free,quite rich,moderate,4097.0,24.0,furniture/equipment,0,Yes
217.0,25.0,female,rent,moderate,rich,8505.0,42.0,education,0,Yes
218.0,44.0,male,rent,rich,little,8529.0,20.0,furniture/equipment,0,Yes
219.0,26.0,female,rent,moderate,rich,1256.0,30.0,domestic appliances,0,Yes
220.0,54.0,female,own,little,moderate,12556.0,9.0,repairs,0,Yes
221.0,50.0,female,free,quite rich,little,19021.0,40.0,radio/TV,1,No
222.0,68.0,female,rent,rich,rich,12065.0,38.0,furniture/equipment,1,No
223.0,59.0,female,rent,little,moderate,5801.0,43.0,domestic appliances,1,No
224.0,61.0,male,free,little,rich,3209.0,17.0,radio/TV,1,No
225.0,41.0,female,rent,moderate,moderate,10350.0,25.0,car,0,Yes
226.0,32.0,female,own,moderate,little,17968.0,56.0,domestic appliances,0,Yes
227.0,71.0,female,own,moderate,rich,9818.0,33.0,business,0,Yes
228.0,49.0,male,rent,moderate,moderate,18258.0,19.0,domestic appliances,0,Yes
229.0,49.0,female,own,little,little,10151.0,12.0,domestic appliances,1,No
230.0,41.0,female,free,little,moderate,10171.0,17.0,radio/TV,0,Yes
231.0,58.0,male,free,quite rich,moderate,8591.0,55.0,radio/TV,0,Yes
232.0,69.0,male,rent,little,rich,12039.0,42.0,radio/TV,0,Yes
233.0,66.0,female,own,moderate,moderate,5969.0,33.0,car,0,Yes
234.0,66.0,female,own,moderate,rich,15895.0,35.0,repairs,1,No
235.0,69.0,male,rent,little,moderate,19230.0,58.0,furniture/equipment,0,Yes
236.0,29.0,female,free,little,moderate,6833.0,40.0,car,1,No
237.0,56.0,female,rent,moderate,little,1627.0,34.0,domestic appliances,1,No
238.0,19.0,female,rent,little,little,11911.0,29.0,furniture/equipment,1,No
239.0,20.0,male,rent,little,moderate,5468.0,20.0,repairs,1,No
240.0,66.0,female,own,moderate,moderate,1701.0,31.0,education,0,Yes
241.0,54.0,female,free,moderate,moderate,16635.0,51.0,car,0,Yes
242.0,66.0,male,own,moderate,moderate,5506.0,41.0,repairs,0,Yes
243.0,73.0,male,own,quite rich,little,11308.0,56.0,domestic appliances,1,No
244.0,34.0,male,own,moderate,moderate,1793.0,27.0,domestic appliances,1,No
245.0,66.0,female,rent,moderate,rich,19547.0,17.0,repairs,0,Yes
246.0,19.0,female,own,little,little,7411.0,37.0,business,1,No
247.0,19.0,male,free,little,rich,14861.0,37.0,furniture/equipment,0,Yes
248.0,45.0,female,rent,rich,moderate,1587.0,21.0,domestic appliances,0,Yes
249.0,71.0,male,free,moderate,moderate,9554.0,6.0,business,0,Yes
250.0,40.0,female,rent,moderate,little,17963.0,49.0,car,1,No
251.0,54.0,female,own,rich,moderate,14487.0,53.0,education,0,Yes
252.0,49.0,female,own,quite rich,moderate,6427.0,20.0,radio/TV,0,Yes
253.0,50.0,female,rent,quite rich,moderate,6294.0,25.0,furniture/equipment,0,Yes
254.0,18.0,female,free,moderate,little,3610.0,58.0,domestic appliances,1,No
255.0,36.0,female,rent,moderate,moderate,504.0,6.0,repairs,0,Yes
256.0,19.0,male,free,rich,moderate,2941.0,49.0,domestic appliances,0,Yes
257.0,70.0,female,own,little,moderate,1110.0,7.0,business,0,Yes
258.0,61.0,male,own,moderate,moderate,18398.0,19.0,radio/TV,0,Yes
259.0,43.0,female,own,moderate,rich,6815.0,49.0,domestic appliances,1,No
260.0,49.0,male,rent,moderate,moderate,18107.0,43.0,education,0,Yes
261.0,23.0,male,own,little,rich,2184.0,53.0,car,0,Yes
262.0,49.0,female,own,moderate,moderate,996.0,29.0,furniture/equipment,0,Yes
263.0,72.0,female,own,rich,moderate,9222.0,35.0,car,0,Yes
264.0,21.0,female,free,little,moderate,6962.0,58.0,car,0,Yes
265.0,72.0,male,own,quite rich,little,256.0,10.0,furniture/equipment,0,Yes
266.0,28.0,female,free,quite rich,moderate,6138.0,52.0,radio/TV,0,Yes
267.0,73.0,female,own,moderate,moderate,18129.0,18.0,car,0,Yes
268.0,34.0,female,own,little,moderate,3450.0,23.0,education,1,No
269.0,55.0,female,free,rich,little,1978.0,9.0,furniture/equipment,1,No
270.0,41.0,male,free,moderate,little,15311.0,22.0,radio/TV,0,Yes
271.0,22.0,female,own,rich,moderate,17195.0,42.0,business,0,Yes
272.0,69.0,male,rent,little,little,17938.0,42.0,radio/TV,1,No
273.0,51.0,male,free,little,rich,637.0,7.0,radio/TV,0,Yes
274.0,23.0,female,rent,rich,moderate,16595.0,21.0,furniture/equipment,0,Yes
275.0,39.0,female,free,little,rich,8297.0,12.0,business,0,Yes
276.0,28.0,male,free,moderate,moderate,6410.0,17.0,domestic appliances,0,Yes
277.0,65.0,female,own,moderate,moderate,5434.0,51.0,furniture/equipment,0,Yes
278.0,33.0,male,rent,moderate,rich,19453.0,43.0,domestic appliances,0,Yes
279.0,50.0,male,rent,quite rich,moderate,13053.0,50.0,education,0,Yes
280.0,26.0,female,own,little,moderate,2479.0,37.0,domestic appliances,0,Yes
281.0,23.0,female,own,moderate,rich,9180.0,31.0,repairs,0,Yes
282.0,33.0,female,own,little,rich,17806.0,10.0,business,1,No
283.0,46.0,male,free,moderate,rich,18938.0,59.0,radio/TV,1,No
284.0,20.0,male,rent,moderate,moderate,2887.0,47.0,radio/TV,0,Yes
285.0,37.0,female,own,moderate,moderate,13644.0,34.0,business,1,No
286.0,53.0,female,free,moderate,moderate,10378.0,21.0,radio/TV,0,Yes
287.0,36.0,male,free,moderate,rich,15443.0,34.0,business,0,Yes
288.0,43.0,male,own,quite rich,little,748.0,29.0,domestic appliances,1,No
289.0,20.0,female,rent,quite rich,little,4770.0,17.0,furniture/equipment,0,Yes
290.0,36.0,male,own,rich,rich,13379.0,40.0,domestic appliances,1,No
291.0,37.0,female,own,quite rich,rich,14878.0,14.0,domestic appliances,1,No
292.0,49.0,male,free,quite rich,rich,18672.0,19.0,car,0,Yes
293.0,24.0,female,rent,quite rich,moderate,1990.0,8.0,car,0,Yes
294.0,69.0,female,rent,moderate,rich,10168.0,29.0,car,1,No
295.0,58.0,male,own,moderate,little,16263.0,43.0,radio/TV,1,No
296.0,50.0,male,rent,moderate,moderate,3684.0,43.0,business,0,Yes
297.0,57.0,female,free,moderate,little,3375.0,45.0,business,1,No
298.0,56.0,female,free,little,rich,18825.0,59.0,car,1,No
299.0,35.0,female,free,rich,little,11341.0,55.0,car,1,No
300.0,57.0,female,own,moderate,moderate,19010.0,42.0,radio/TV,1,No
301.0,18.0,male,free,rich,moderate,18422.0,38.0,radio/TV,0,Yes
302.0,28.0,female,own,quite rich,moderate,15436.0,21.0,business,0,Yes
303.0,45.0,male,rent,rich,moderate,14484.0,20.0,repairs,0,Yes
304.0,74.0,male,rent,quite rich,little,15603.0,17.0,furniture/equipment,0,Yes
305.0,42.0,female,free,moderate,little,3514.0,23.0,business,0,Yes
306.0,67.0,male,own,quite rich,moderate,8348.0,11.0,business,0,Yes
307.0,40.0,male,rent,moderate,little,18073.0,22.0,car,1,No
308.0,48.0,female,free,moderate,moderate,4309.0,23.0,education,0,Yes
309.0,47.0,female,free,rich,rich,19252.0,19.0,furniture/equipment,0,Yes
310.0,59.0,female,own,moderate,moderate,1794.0,9.0,domestic appliances,0,Yes
311.0,52.0,female,rent,moderate,little,10924.0,51.0,education,1,No
312.0,24.0,female,free,moderate,little,10626.0,44.0,furniture/equipment,1,No
313.0,33.0,male,rent,moderate,moderate,2055.0,50.0,radio/TV,0,Yes
314.0,43.0,female,free,moderate,moderate,2063.0,45.0,radio/TV,0,Yes
315.0,65.0,female,free,rich,moderate,6531.0,59.0,repairs,0,Yes
316.0,74.0,male,rent,little,moderate,4088.0,28.0,radio/TV,1,No
317.0,69.0,female,own,moderate,moderate,14212.0,22.0,domestic appliances,1,No
318.0,66.0,female,own,little,moderate,5698.0,20.0,business,1,No
319.0,19.0,female,own,quite rich,rich,7804.0,17.0,radio/TV,0,Yes
320.0,18.0,male,own,moderate,little,19035.0,26.0,business,1,No
321.0,65.0,female,own,quite rich,rich,3619.0,47.0,repairs,0,Yes
322.0,29.0,female,own,moderate,moderate,12205.0,35.0,business,0,Yes
323.0,22.0,female,free,rich,moderate,5634.0,9.0,business,0,Yes
324.0,54.0,female,own,quite rich,rich,17493.0,24.0,education,0,Yes
325.0,49.0,female,rent,little,moderate,7181.0,57.0,education,0,Yes
326.0,72.0,male,rent,quite rich,moderate,17923.0,23.0,domestic appliances,0,Yes
327.0,26.0,female,rent,moderate,moderate,244.0,48.0,car,0,Yes
328.0,58.0,female,free,little,rich,13734.0,45.0,business,1,No
329.0,52.0,female,rent,rich,moderate,17103.0,37.0,domestic appliances,1,No
330.0,36.0,female,free,moderate,moderate,1953.0,46.0,repairs,0,Yes
331.0,65.0,female,own,little,rich,8909.0,27.0,repairs,0,Yes
332.0,33.0,male,own,quite rich,moderate,5781.0,17.0,car,1,No
333.0,20.0,male,free,rich,moderate,15792.0,52.0,education,1,No
334.0,37.0,female,rent,little,little,2863.0,56.0,business,1,No
335.0,41.0,female,rent,rich,moderate,18309.0,45.0,domestic appliances,1,No
336.0,71.0,male,rent,quite rich,rich,15922.0,26.0,car,0,Yes
337.0,73.0,male,rent,quite rich,moderate,18819.0,51.0,car,0,Yes
338.0,50.0,male,own,rich,moderate,14371.0,32.0,furniture/equipment,0,Yes
339.0,41.0,female,free,quite rich,rich,9323.0,32.0,business,1,No
340.0,69.0,male,rent,little,rich,1654.0,19.0,radio/TV,0,Yes
341.0,28.0,female,own,rich,rich,11012.0,40.0,business,0,Yes
342.0,66.0,female,own,moderate,moderate,14240.0,27.0,repairs,1,No
343.0,25.0,male,rent,moderate,rich,16412.0,38.0,education,0,Yes
344.0,53.0,female,own,moderate,moderate,9501.0,14.0,car,0,Yes
345.0,55.0,female,rent,rich,moderate,7286.0,54.0,radio/TV,0,Yes
346.0,57.0,male,free,quite rich,rich,534.0,35.0,furniture/equipment,0,Yes
347.0,37.0,female,free,little,moderate,15597.0,6.0,repairs,1,No
348.0,52.0,male,rent,moderate,little,17974.0,8.0,furniture/equipment,1,No
349.0,65.0,male,rent,little,moderate,10704.0,31.0,domestic appliances,0,Yes
350.0,42.0,male,rent,quite rich,moderate,14003.0,26.0,business,0,Yes
351.0,52.0,female,own,moderate,rich,15114.0,26.0,domestic appliances,0,Yes
352.0,42.0,male,rent,moderate,moderate,18693.0,24.0,car,0,Yes
353.0,46.0,male,own,little,rich,8671.0,43.0,domestic appliances,1,No
354.0,35.0,female,rent,little,moderate,2745.0,40.0,furniture/equipment,1,No
355.0,63.0,male,free,moderate,rich,18793.0,44.0,domestic appliances,0,Yes
356.0,35.0,female,free,little,rich,3399.0,53.0,domestic appliances,1,No
357.0,19.0,female,rent,moderate,moderate,13015.0,36.0,education,0,Yes
358.0,71.0,male,own,rich,moderate,6912.0,26.0,business,0,Yes
359.0,52.0,male,free,moderate,moderate,13183.0,43.0,car,0,Yes
360.0,33.0,female,own,moderate,rich,8656.0,38.0,furniture/equipment,0,Yes
361.0,58.0,male,rent,rich,little,18857.0,31.0,domestic appliances,0,Yes
362.0,53.0,female,own,rich,moderate,12398.0,52.0,domestic appliances,0,Yes
363.0,50.0,male,free,quite rich,moderate,7240.0,49.0,car,0,Yes
364.0,21.0,female,free,quite rich,little,18403.0,59.0,radio/TV,0,Yes
365.0,50.0,male,own,moderate,moderate,10487.0,57.0,business,0,Yes
